,value,timeOffset,referenceTime
323,3.1,PT0H,2024-11-19T00:00:00.000Z
324,3.2,PT0H,2024-11-20T00:00:00.000Z
325,2.5,PT0H,2024-11-21T00:00:00.000Z
326,1.4,PT0H,2024-11-22T00:00:00.000Z
327,1.4,PT0H,2024-11-23T00:00:00.000Z
328,2.8,PT0H,2024-11-24T00:00:00.000Z
329,2.1,PT0H,2024-11-25T00:00:00.000Z
330,3.0,PT0H,2024-11-26T00:00:00.000Z
331,4.0,PT0H,2024-11-27T00:00:00.000Z
332,2.4,PT0H,2024-11-28T00:00:00.000Z
333,1.1,PT0H,2024-11-29T00:00:00.000Z
334,3.4,PT0H,2024-11-30T00:00:00.000Z
335,3.8,PT0H,2024-12-01T00:00:00.000Z
336,4.4,PT0H,2024-12-02T00:00:00.000Z
337,3.7,PT0H,2024-12-03T00:00:00.000Z
338,2.2,PT0H,2024-12-04T00:00:00.000Z
339,2.7,PT0H,2024-12-05T00:00:00.000Z
340,2.0,PT0H,2024-12-06T00:00:00.000Z
341,4.1,PT0H,2024-12-07T00:00:00.000Z
342,3.8,PT0H,2024-12-08T00:00:00.000Z
343,1.6,PT0H,2024-12-09T00:00:00.000Z
344,1.3,PT0H,2024-12-10T00:00:00.000Z
345,0.7,PT0H,2024-12-11T00:00:00.000Z
346,0.7,PT0H,2024-12-12T00:00:00.000Z
347,0.6,PT0H,2024-12-13T00:00:00.000Z
348,3.0,PT0H,2024-12-14T00:00:00.000Z
349,2.1,PT0H,2024-12-15T00:00:00.000Z
350,2.9,PT0H,2024-12-16T00:00:00.000Z
351,1.6,PT0H,2024-12-17T00:00:00.000Z
352,3.6,PT0H,2024-12-18T00:00:00.000Z
353,2.4,PT0H,2024-12-19T00:00:00.000Z
354,2.4,PT0H,2024-12-20T00:00:00.000Z
355,1.8,PT0H,2024-12-21T00:00:00.000Z
356,1.9,PT0H,2024-12-22T00:00:00.000Z
357,3.4,PT0H,2024-12-23T00:00:00.000Z
358,1.5,PT0H,2024-12-24T00:00:00.000Z
359,1.5,PT0H,2024-12-25T00:00:00.000Z
360,0.9,PT0H,2024-12-26T00:00:00.000Z
361,0.9,PT0H,2024-12-27T00:00:00.000Z
362,1.1,PT0H,2024-12-28T00:00:00.000Z
363,2.3,PT0H,2024-12-29T00:00:00.000Z
364,2.2,PT0H,2024-12-30T00:00:00.000Z
365,3.6,PT0H,2024-01-01T00:00:00.000Z
366,4.0,PT0H,2024-01-02T00:00:00.000Z
367,3.9,PT0H,2024-01-03T00:00:00.000Z
368,4.1,PT0H,2024-01-04T00:00:00.000Z
369,4.8,PT0H,2024-01-05T00:00:00.000Z
