Unnamed: 0,verdi,tidsforskyvning,referansetid
411,5.3,PT0H,2024-02-16 00:00:00+00:00
412,1.8,PT0H,2024-02-17 00:00:00+00:00
413,3.1,PT0H,2024-02-18 00:00:00+00:00
414,5.6,PT0H,2024-02-19 00:00:00+00:00
415,1.9,PT0H,2024-02-20 00:00:00+00:00
416,3.7,PT0H,2024-02-21 00:00:00+00:00
417,3.7,PT0H,2024-02-22 00:00:00+00:00
418,3.2,PT0H,2024-02-23 00:00:00+00:00
419,3.2,PT0H,2024-02-24 00:00:00+00:00
420,7.1,PT0H,2024-02-25 00:00:00+00:00
421,5.6,PT0H,2024-02-26 00:00:00+00:00
422,5.6,PT0H,2024-02-27 00:00:00+00:00
423,5.6,PT0H,2024-02-28 00:00:00+00:00
424,5.6,PT0H,2024-02-29 00:00:00+00:00
425,5.6,PT0H,2024-03-01 00:00:00+00:00
426,2.6,PT0H,2024-03-02 00:00:00+00:00
427,2.5,PT0H,2024-03-03 00:00:00+00:00
428,1.3,PT0H,2024-03-04 00:00:00+00:00
429,1.3,PT0H,2024-03-05 00:00:00+00:00
430,2.4,PT0H,2024-03-06 00:00:00+00:00
431,1.5,PT0H,2024-03-07 00:00:00+00:00
432,1.7,PT0H,2024-03-08 00:00:00+00:00
433,2.6,PT0H,2024-03-09 00:00:00+00:00
434,3.5,PT0H,2024-03-10 00:00:00+00:00
435,2.2,PT0H,2024-03-11 00:00:00+00:00
436,3.0,PT0H,2024-03-12 00:00:00+00:00
437,2.8,PT0H,2024-03-13 00:00:00+00:00
438,1.8,PT0H,2024-03-14 00:00:00+00:00
439,4.0,PT0H,2024-03-15 00:00:00+00:00
440,4.0,PT0H,2024-03-16 00:00:00+00:00
441,5.1,PT0H,2024-03-17 00:00:00+00:00
442,7.4,PT0H,2024-03-18 00:00:00+00:00
443,3.2,PT0H,2024-03-19 00:00:00+00:00
444,3.3,PT0H,2024-03-20 00:00:00+00:00
445,3.3,PT0H,2024-03-21 00:00:00+00:00
446,2.6,PT0H,2024-03-22 00:00:00+00:00
447,2.0,PT0H,2024-03-23 00:00:00+00:00
448,4.4,PT0H,2024-03-24 00:00:00+00:00
449,1.3,PT0H,2024-03-25 00:00:00+00:00
450,2.8,PT0H,2024-03-26 00:00:00+00:00
451,2.7,PT0H,2024-03-27 00:00:00+00:00
452,1.1,PT0H,2024-03-28 00:00:00+00:00
453,1.2,PT0H,2024-03-29 00:00:00+00:00
454,2.1,PT0H,2024-03-30 00:00:00+00:00
455,2.9,PT0H,2024-03-31 00:00:00+00:00
456,3.6,PT0H,2024-04-01 00:00:00+00:00
457,3.3,PT0H,2024-04-02 00:00:00+00:00
458,3.2,PT0H,2024-04-03 00:00:00+00:00
459,2.8,PT0H,2024-04-04 00:00:00+00:00
460,5.1,PT0H,2024-04-05 00:00:00+00:00
461,4.9,PT0H,2024-04-06 00:00:00+00:00
462,2.8,PT0H,2024-04-07 00:00:00+00:00
463,2.5,PT0H,2024-04-08 00:00:00+00:00
464,2.4,PT0H,2024-04-09 00:00:00+00:00
465,2.5,PT0H,2024-04-10 00:00:00+00:00
466,2.2,PT0H,2024-04-11 00:00:00+00:00
467,4.4,PT0H,2024-04-12 00:00:00+00:00
468,4.1,PT0H,2024-04-13 00:00:00+00:00
469,2.7,PT0H,2024-04-14 00:00:00+00:00
470,1.3,PT0H,2024-04-15 00:00:00+00:00
471,2.6,PT0H,2024-04-16 00:00:00+00:00
472,2.0,PT0H,2024-04-17 00:00:00+00:00
473,4.5,PT0H,2024-04-18 00:00:00+00:00
474,3.6,PT0H,2024-04-19 00:00:00+00:00
475,2.1,PT0H,2024-04-20 00:00:00+00:00
476,5.4,PT0H,2024-04-21 00:00:00+00:00
477,5.8,PT0H,2024-04-22 00:00:00+00:00
