verdi,tidsforskyvning,referansetid
0.0,PT6H,2024-07-19T00:00:00.000Z
0.0,PT18H,2024-07-20T00:00:00.000Z
0.0,PT6H,2024-07-20T00:00:00.000Z
0.0,PT18H,2024-07-21T00:00:00.000Z
0.0,PT6H,2024-07-21T00:00:00.000Z
10.2,PT18H,2024-07-22T00:00:00.000Z
2.9,PT6H,2024-07-22T00:00:00.000Z
0.0,PT18H,2024-07-23T00:00:00.000Z
7.3,PT6H,2024-07-23T00:00:00.000Z
6.3,PT18H,2024-07-24T00:00:00.000Z
1.3,PT6H,2024-07-24T00:00:00.000Z
0.4,PT18H,2024-07-25T00:00:00.000Z
5.4,PT6H,2024-07-25T00:00:00.000Z
26.9,PT18H,2024-07-26T00:00:00.000Z
3.6,PT6H,2024-07-26T00:00:00.000Z
0.0,PT18H,2024-07-27T00:00:00.000Z
23.3,PT6H,2024-07-27T00:00:00.000Z
1.4,PT18H,2024-07-28T00:00:00.000Z
1.4,PT6H,2024-07-28T00:00:00.000Z
0.1,PT18H,2024-07-29T00:00:00.000Z
0.1,PT6H,2024-07-29T00:00:00.000Z
0.0,PT18H,2024-07-30T00:00:00.000Z
0.0,PT6H,2024-07-30T00:00:00.000Z
0.0,PT18H,2024-07-31T00:00:00.000Z
0.0,PT6H,2024-07-31T00:00:00.000Z
0.0,PT18H,2024-08-01T00:00:00.000Z
0.0,PT6H,2024-08-01T00:00:00.000Z
0.0,PT18H,2024-08-02T00:00:00.000Z
0.0,PT6H,2024-08-02T00:00:00.000Z
0.0,PT18H,2024-08-03T00:00:00.000Z
0.0,PT6H,2024-08-03T00:00:00.000Z
40.5,PT18H,2024-08-04T00:00:00.000Z
22.7,PT6H,2024-08-04T00:00:00.000Z
0.0,PT18H,2024-08-05T00:00:00.000Z
17.8,PT6H,2024-08-05T00:00:00.000Z
0.0,PT18H,2024-08-06T00:00:00.000Z
0.0,PT6H,2024-08-06T00:00:00.000Z
0.0,PT18H,2024-08-07T00:00:00.000Z
0.0,PT6H,2024-08-07T00:00:00.000Z
11.2,PT18H,2024-08-08T00:00:00.000Z
11.1,PT6H,2024-08-08T00:00:00.000Z
7.7,PT18H,2024-08-09T00:00:00.000Z
3.4,PT6H,2024-08-09T00:00:00.000Z
0.0,PT18H,2024-08-10T00:00:00.000Z
4.4,PT6H,2024-08-10T00:00:00.000Z
0.0,PT18H,2024-08-11T00:00:00.000Z
0.0,PT6H,2024-08-11T00:00:00.000Z
0.0,PT18H,2024-08-12T00:00:00.000Z
0.0,PT6H,2024-08-12T00:00:00.000Z
0.3,PT18H,2024-08-13T00:00:00.000Z
0.0,PT6H,2024-08-13T00:00:00.000Z
0.7,PT18H,2024-08-14T00:00:00.000Z
0.3,PT6H,2024-08-14T00:00:00.000Z
9.1,PT18H,2024-08-15T00:00:00.000Z
9.2,PT6H,2024-08-15T00:00:00.000Z
2.8,PT18H,2024-08-16T00:00:00.000Z
3.3,PT6H,2024-08-16T00:00:00.000Z
0.0,PT18H,2024-08-17T00:00:00.000Z
0.1,PT6H,2024-08-17T00:00:00.000Z
0.0,PT18H,2024-08-18T00:00:00.000Z
0.0,PT6H,2024-08-18T00:00:00.000Z
0.0,PT18H,2024-08-19T00:00:00.000Z
0.0,PT6H,2024-08-19T00:00:00.000Z
1.0,PT18H,2024-08-20T00:00:00.000Z
0.1,PT6H,2024-08-20T00:00:00.000Z
19.3,PT18H,2024-08-21T00:00:00.000Z
19.6,PT6H,2024-08-21T00:00:00.000Z
13.1,PT18H,2024-08-22T00:00:00.000Z
0.6,PT6H,2024-08-22T00:00:00.000Z
17.9,PT18H,2024-08-23T00:00:00.000Z
15.1,PT6H,2024-08-23T00:00:00.000Z
0.0,PT18H,2024-08-24T00:00:00.000Z
15.9,PT6H,2024-08-24T00:00:00.000Z
4.7,PT18H,2024-08-25T00:00:00.000Z
4.5,PT6H,2024-08-25T00:00:00.000Z
0.8,PT18H,2024-08-26T00:00:00.000Z
1.0,PT6H,2024-08-26T00:00:00.000Z
0.3,PT18H,2024-08-27T00:00:00.000Z
0.0,PT6H,2024-08-27T00:00:00.000Z
0.0,PT18H,2024-08-28T00:00:00.000Z
0.3,PT6H,2024-08-28T00:00:00.000Z
8.7,PT18H,2024-08-29T00:00:00.000Z
0.0,PT6H,2024-08-29T00:00:00.000Z
0.0,PT18H,2024-08-30T00:00:00.000Z
8.7,PT6H,2024-08-30T00:00:00.000Z
0.0,PT18H,2024-08-31T00:00:00.000Z
0.0,PT6H,2024-08-31T00:00:00.000Z
0.0,PT18H,2024-09-01T00:00:00.000Z
0.0,PT6H,2024-09-01T00:00:00.000Z
15.0,PT18H,2024-09-02T00:00:00.000Z
0.0,PT6H,2024-09-02T00:00:00.000Z
6.4,PT18H,2024-09-03T00:00:00.000Z
16.7,PT6H,2024-09-03T00:00:00.000Z
13.8,PT18H,2024-09-04T00:00:00.000Z
13.1,PT6H,2024-09-04T00:00:00.000Z
0.0,PT18H,2024-09-05T00:00:00.000Z
5.4,PT6H,2024-09-05T00:00:00.000Z
0.0,PT18H,2024-09-06T00:00:00.000Z
0.0,PT6H,2024-09-06T00:00:00.000Z
0.0,PT18H,2024-09-07T00:00:00.000Z
