,verdi,tidsforskyvning,referansetid
443,16.8,PT6H,2024-08-09T00:00:00.000Z
444,15.3,PT0H,2024-08-10T00:00:00.000Z
445,14.5,PT6H,2024-08-10T00:00:00.000Z
446,16.8,PT0H,2024-08-11T00:00:00.000Z
447,15.3,PT6H,2024-08-11T00:00:00.000Z
448,16.0,PT0H,2024-08-12T00:00:00.000Z
449,16.4,PT6H,2024-08-12T00:00:00.000Z
450,15.9,PT0H,2024-08-13T00:00:00.000Z
451,16.5,PT6H,2024-08-13T00:00:00.000Z
452,17.1,PT0H,2024-08-14T00:00:00.000Z
453,16.6,PT6H,2024-08-14T00:00:00.000Z
454,17.5,PT0H,2024-08-15T00:00:00.000Z
455,17.8,PT6H,2024-08-15T00:00:00.000Z
456,17.0,PT0H,2024-08-16T00:00:00.000Z
457,16.8,PT6H,2024-08-16T00:00:00.000Z
458,15.1,PT0H,2024-08-17T00:00:00.000Z
459,15.8,PT6H,2024-08-17T00:00:00.000Z
460,14.1,PT0H,2024-08-18T00:00:00.000Z
461,15.0,PT6H,2024-08-18T00:00:00.000Z
462,14.8,PT0H,2024-08-19T00:00:00.000Z
463,13.7,PT6H,2024-08-19T00:00:00.000Z
464,15.9,PT0H,2024-08-20T00:00:00.000Z
465,16.4,PT6H,2024-08-20T00:00:00.000Z
466,15.5,PT0H,2024-08-21T00:00:00.000Z
467,16.2,PT6H,2024-08-21T00:00:00.000Z
468,13.8,PT0H,2024-08-22T00:00:00.000Z
469,14.5,PT6H,2024-08-22T00:00:00.000Z
470,14.3,PT0H,2024-08-23T00:00:00.000Z
471,14.7,PT6H,2024-08-23T00:00:00.000Z
472,13.0,PT0H,2024-08-24T00:00:00.000Z
473,12.8,PT6H,2024-08-24T00:00:00.000Z
474,14.8,PT0H,2024-08-25T00:00:00.000Z
475,13.8,PT6H,2024-08-25T00:00:00.000Z
476,15.6,PT0H,2024-08-26T00:00:00.000Z
477,14.8,PT6H,2024-08-26T00:00:00.000Z
478,13.8,PT0H,2024-08-27T00:00:00.000Z
479,14.5,PT6H,2024-08-27T00:00:00.000Z
480,17.5,PT0H,2024-08-28T00:00:00.000Z
481,15.8,PT6H,2024-08-28T00:00:00.000Z
482,16.8,PT0H,2024-08-29T00:00:00.000Z
483,17.5,PT6H,2024-08-29T00:00:00.000Z
484,15.1,PT0H,2024-08-30T00:00:00.000Z
485,16.3,PT6H,2024-08-30T00:00:00.000Z
486,14.7,PT0H,2024-08-31T00:00:00.000Z
487,14.0,PT6H,2024-08-31T00:00:00.000Z
488,15.1,PT0H,2024-09-01T00:00:00.000Z
489,14.7,PT6H,2024-09-01T00:00:00.000Z
490,12.8,PT0H,2024-09-02T00:00:00.000Z
491,16.0,PT6H,2024-09-02T00:00:00.000Z
492,14.6,PT0H,2024-09-03T00:00:00.000Z
