Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;07.1991;18,2;10;31,3;9
Bergen - Florida;SN50540;08.1991;15,3;9,2;27,6;18
Oslo - Blindern;SN18700;08.1991;16,7;7,4;26,7;9
Bergen - Florida;SN50540;09.1991;11,2;1,9;20,4;18
Oslo - Blindern;SN18700;09.1991;11,6;0,1;26,4;10
Bergen - Florida;SN50540;10.1991;8,1;0,3;17,4;12
Oslo - Blindern;SN18700;10.1991;6,5;-3,1;13,8;6
Bergen - Florida;SN50540;11.1991;5,6;-4,9;12,2;19
Oslo - Blindern;SN18700;11.1991;2,4;-9,2;9,3;15
Bergen - Florida;SN50540;12.1991;4,6;-2,3;10,2;21
Oslo - Blindern;SN18700;12.1991;0,1;-7,9;12,6;6
Bergen - Florida;SN50540;01.1992;4,6;-1,2;10,1;21
Oslo - Blindern;SN18700;01.1992;-0,5;-10,4;9,1;2
Bergen - Florida;SN50540;02.1992;4,2;-5,8;10,3;24
Oslo - Blindern;SN18700;02.1992;0,1;-10,4;9;5
Bergen - Florida;SN50540;03.1992;4;-5,6;11,2;22
Oslo - Blindern;SN18700;03.1992;2,7;-8,6;10;15
Bergen - Florida;SN50540;04.1992;5,8;-3,5;13,7;13
Oslo - Blindern;SN18700;04.1992;4,2;-4,2;16,3;12
Bergen - Florida;SN50540;05.1992;12,1;0,9;26,2;15
Oslo - Blindern;SN18700;05.1992;13,1;-0,5;27,7;3
Bergen - Florida;SN50540;06.1992;16,1;7,3;27,3;9
Oslo - Blindern;SN18700;06.1992;17,8;6,9;28,7;4
Bergen - Florida;SN50540;07.1992;14,2;7,9;22,6;16
Oslo - Blindern;SN18700;07.1992;16,4;6,7;25,8;13
Bergen - Florida;SN50540;08.1992;13,4;7,8;20,9;22
Oslo - Blindern;SN18700;08.1992;14,1;6,6;22,9;18
Bergen - Florida;SN50540;09.1992;12,4;5,3;20,4;19
Oslo - Blindern;SN18700;09.1992;11,3;2,3;19,4;12
Bergen - Florida;SN50540;10.1992;6,3;-3,5;15,9;7
Oslo - Blindern;SN18700;10.1992;3,2;-8;17,5;7
Bergen - Florida;SN50540;11.1992;4,8;-2,5;11,8;23
Oslo - Blindern;SN18700;11.1992;1,1;-4,4;8,1;13
Bergen - Florida;SN50540;12.1992;3,9;-4;10,3;20
Oslo - Blindern;SN18700;12.1992;-0,8;-11,5;7,8;6
Bergen - Florida;SN50540;01.1993;3;-8,3;9,7;25
Oslo - Blindern;SN18700;01.1993;0;-14;7,5;8
Bergen - Florida;SN50540;02.1993;3,4;-2,4;9,2;21
Oslo - Blindern;SN18700;02.1993;-0,8;-10,5;11,2;4
Bergen - Florida;SN50540;03.1993;3,7;-6,4;13,3;18
Oslo - Blindern;SN18700;03.1993;1,3;-15,2;12,4;1
Bergen - Florida;SN50540;04.1993;7,9;-1,7;22,5;10
Oslo - Blindern;SN18700;04.1993;6,4;-4,5;25,1;6
Bergen - Florida;SN50540;05.1993;12;1,9;25,5;5
Oslo - Blindern;SN18700;05.1993;13;2,2;25,5;8
Bergen - Florida;SN50540;06.1993;12;4,5;23,5;9
Oslo - Blindern;SN18700;06.1993;13,6;3,4;26;5
Bergen - Florida;SN50540;07.1993;12,5;7,1;22;17
Oslo - Blindern;SN18700;07.1993;14,7;7,6;24,6;16
Bergen - Florida;SN50540;08.1993;12,7;6,7;21,1;15
Oslo - Blindern;SN18700;08.1993;13,1;4,9;20,6;11
Bergen - Florida;SN50540;09.1993;11;1,1;20;8
Oslo - Blindern;SN18700;09.1993;9,1;-1;18,7;6
Bergen - Florida;SN50540;10.1993;7,6;-2;15,4;14
Oslo - Blindern;SN18700;10.1993;4,4;-5,8;12,6;14
Bergen - Florida;SN50540;11.1993;3,2;-3,9;9,4;9
Oslo - Blindern;SN18700;11.1993;-0,4;-11,5;5,6;11
Bergen - Florida;SN50540;12.1993;1,2;-8,8;8,4;19
Oslo - Blindern;SN18700;12.1993;-3,4;-15,1;5,7;13
Bergen - Florida;SN50540;01.1994;1,4;-5,2;7,9;20
Oslo - Blindern;SN18700;01.1994;-4,1;-14,5;5,3;9
Bergen - Florida;SN50540;02.1994;-0,9;-9,6;6,1;5
Oslo - Blindern;SN18700;02.1994;-7,7;-18,8;1;4
Bergen - Florida;SN50540;03.1994;2,8;-7;11,4;23
Oslo - Blindern;SN18700;03.1994;0,5;-11,8;11,2;8
Bergen - Florida;SN50540;04.1994;6,4;0,3;14,6;20
Oslo - Blindern;SN18700;04.1994;6,1;-3,6;18,6;12
Bergen - Florida;SN50540;05.1994;9,9;0,4;23,4;6
Oslo - Blindern;SN18700;05.1994;10,9;1,4;24,3;0
Bergen - Florida;SN50540;06.1994;10,5;3,9;19,8;24
Oslo - Blindern;SN18700;06.1994;13,6;5,4;27,1;6
Bergen - Florida;SN50540;07.1994;16,2;7,7;28,6;9
Oslo - Blindern;SN18700;07.1994;20,3;9,1;31,2;3
Bergen - Florida;SN50540;08.1994;14,9;6,4;30,1;15
Oslo - Blindern;SN18700;08.1994;16;5,1;29,4;11
Bergen - Florida;SN50540;09.1994;11,7;1,7;22,2;12
Oslo - Blindern;SN18700;09.1994;10,1;-1;20,8;8
Bergen - Florida;SN50540;10.1994;7,4;-2,2;15,3;18
Oslo - Blindern;SN18700;10.1994;5,5;-4,7;15,6;9
Bergen - Florida;SN50540;11.1994;6,9;-0,5;16,2;25
Oslo - Blindern;SN18700;11.1994;1,9;-6,7;9,4;6
Bergen - Florida;SN50540;12.1994;4,3;-2,3;11,5;24
Oslo - Blindern;SN18700;12.1994;0,1;-8,2;7,2;15
Bergen - Florida;SN50540;01.1995;2,5;-7,9;10,9;20
Oslo - Blindern;SN18700;01.1995;-2,9;-16,4;5,3;11
Bergen - Florida;SN50540;02.1995;2,5;-4,8;8,2;26
Oslo - Blindern;SN18700;02.1995;-0,3;-13,3;7,2;14
Bergen - Florida;SN50540;03.1995;3,5;-3,9;9,2;20
Oslo - Blindern;SN18700;03.1995;1,2;-7,2;11,6;7
Bergen - Florida;SN50540;04.1995;5,1;-2,1;20,7;21
Oslo - Blindern;SN18700;04.1995;3,9;-4,7;21,2;10
Bergen - Florida;SN50540;05.1995;8,8;0,2;20,7;12
Oslo - Blindern;SN18700;05.1995;9,8;-0,4;22,5;7
Bergen - Florida;SN50540;06.1995;13,5;6,3;24,1;14
Oslo - Blindern;SN18700;06.1995;15,1;7,2;29,3;12
Bergen - Florida;SN50540;07.1995;14,6;7,1;26;20
Oslo - Blindern;SN18700;07.1995;16,4;6,5;27,3;11
Bergen - Florida;SN50540;08.1995;14,9;5,9;25,6;11
Oslo - Blindern;SN18700;08.1995;17,8;5;28,3;3
Bergen - Florida;SN50540;09.1995;12,9;-0,1;22,7;11
Oslo - Blindern;SN18700;09.1995;11,1;1,6;20;13
Bergen - Florida;SN50540;10.1995;10,5;1;20,7;26
Oslo - Blindern;SN18700;10.1995;8,9;-1;15,9;10
Bergen - Florida;SN50540;11.1995;4,4;-4;10,4;16
Oslo - Blindern;SN18700;11.1995;-0,5;-7,5;8,5;6
Bergen - Florida;SN50540;12.1995;-0,8;-10;9,4;10
Oslo - Blindern;SN18700;12.1995;-6,4;-18,3;3,8;2
Bergen - Florida;SN50540;01.1996;1;-10,2;11,2;8
